date,price,dev
1307514818,13,1
1307515181,13,1
1307543753,45,1
1307544254,30,1
1307553004,13,2
1307553443,45,2
1307559706,28,5
1307562883,28,3.57
1307576109,28,1.78
1307576980,28,0.65
1307576980,28.5,4.35
1307577487,28.5,2
1307577608,28.5,5
1307578813,28.5,2
1307581616,30,2
1307581616,29.8,3
1307581754,30,3
1307585625,31,1.61
1307585625,29.8,2
1307585835,29.8,1.8
1307586355,29.8,0.02
1307586807,29.25,1
1307586807,29.5,1
1307586852,29.75,1
1307586852,30,1
1307587226,26,3.88
1307590051,27,1
1307605431,26,4.38
1307625211,29,0.37
1307632029,25.90003,0.59
1307634881,30,1.2
1307638686,30,1.4
1307638984,30,0.6
1307639924,30,5.08
1307642939,30,1.72
1307642977,28.5,0.81
1307645776,29.99,2.8
1307647591,29.99,0.53
1307647591,28.7,5.43
1307650810,28.9,8
1307651736,28.6,0.7
1307651740,28.6,1
1307657075,29,0.4
1307657361,29,2
1307657712,29,0.89
1307657712,28.51,0.32
1307659309,28.1101,1
1307662202,28.2,1
1307664382,28.22,2.13
1307665544,28.22002,2
1307666063,28.223,0.28
1307670314,29.49,1.6
1307670822,29.49,0.4
1307670886,29.5,0.2
1307670911,29.5,0.1
1307670918,29.5,0.1
1307671030,29.5,1
1307671411,28.51,3
1307671533,28.51,0.01
1307671576,28.5,3
1307671670,28.5,1.9
1307671867,28.5,1
1307672588,28.5,1.1
1307672629,28.2231,2.12
1307672642,28.22002,2.23
1307672816,29.49,0.01
1307676145,29.49,3
1307676145,29.5,1.6
1307676145,29.8,2.99
1307678195,29.5,1
1307678195,29.7,2.02
1307678195,29.8,1.01
1307678195,30,5.97
1307678201,30,4.03
1307678201,30,5.97
1307678805,28.51,3
1307679389,28.51,0.11
1307679668,28.51,0.7
1307679974,28.5,3
1307681560,28.5,0.5
1307681560,28.22002,0.27
1307682333,27.51,0.07
1307683517,27.5,2.19
1307686107,26.5,1
1307686117,25.5,6.81
1307686590,25.5,23.26
1307686690,27,1.85
1307688421,27.51,2.5
1307690972,27,2
1307697364,27,8.15
1307706235,27,1.19
1307706784,27,0.88
1307707490,27,0.73
1307707550,27.5,13.07
1307707594,27.51,0.58
1307708964,27,1.25
1307709030,27,18.75
1307711431,29.44,3.11
1307712200,29.44,0.89
1307714930,25.01,1.1
1307715309,25.01,2.56
1307715309,25,1.12
1307721789,25.1,3.7
1307724442,28,2.03
1307724769,27.99,0.5
1307724934,26.8,0.09
1307726046,26.8,0.31
1307726097,26.8,0.69
1307726833,26.2,0.5
1307726855,26,1
1307726871,25.7,1
1307728414,25.1,0.11
1307728553,25.1,1.05
1307731238,27.99,3.16
1307731779,27.99,0.25
1307732017,27.99,0.16
1307732504,25.1,0.14
1307732751,25.1,1
1307734562,24.88,0.25
1307734835,23.01,1
1307734835,23,15
1307735063,21.25,1.26
1307735063,21.1,1.2
1307735063,21.01,1.12
1307735239,21.01,3.75
1307736230,25,1
1307736256,25,0.02
1307736958,25,2.98
1307739081,23,3.2
1307739126,21.11,0.64
1307740972,26,4
1307741042,26.9,0.26
1307741056,27,4
1307741729,26.5,2.5
1307741851,26.5,1.5
1307741898,23.75,0.64
1307742216,27.9,1.1
1307742840,27,22.2
1307743771,27,0.02
1307744222,25,4.32
1307744859,25,9
1307745225,27,4.32
1307745225,27,3.68
1307745307,27,0.25
1307746026,25,0.5
1307747339,26.75,0.5
1307749941,25.25,3
1307751217,25.25,1.05
1307751285,25.25,0.05
1307753807,26.7,0.97
1307755410,25.02,0.5
1307756257,26.75,0.2
1307756635,25.02,0.42
1307757213,26,1.37
1307757390,26,5.63
1307758049,25.02,4.08
1307758077,25.02,1
1307758165,25.01,4.17
1307758183,25.01,0.44
1307759162,26,0.37
1307759270,26.75,0.08
1307759270,26.75,1
1307759285,26.75,1
1307759289,26.75,1
1307759422,26.75,1
1307759536,26.75,2.92
1307759883,25.75,1
1307761551,26.79,1.02
1307761562,26.8,1
1307761598,26.84999,0.4
1307763088,25.5,1
1307763088,25,0.56
1307763088,24.02,0.88
1307763100,24.02,5.37
1307763100,24.01,0.18
1307764489,26.79,1
1307764736,24,1
1307765183,25,0.92
1307765192,25,0.08
1307765717,25,2
1307769857,23.89,3
1307770827,23.76,2
1307770892,23.76,6
1307770901,23.76,0.85
1307770923,23.01,0.82
1307770923,23,0.33
1307771034,22.1,0.01
1307771071,22.01,0.01
1307771589,23,0.33
1307772695,22.15,3.56
1307775083,22.16,0.25
1307775083,22.15,10.55
1307775083,22.14,5
1307775083,22.12,0.09
1307775196,22.12,3.91
1307776063,22,2
1307779000,25.9666,1
1307779019,26.75,5
1307779040,26.8,1
1307779064,26.88,5
1307779091,26.89,3
1307779113,26.9,3.5
1307779302,26.9999,2.6
1307779304,27,2.6
1307779324,27,1.1
1307779398,27,0.56
1307779415,27,4.24
1307780041,21.815,15
1307794586,22.35,1
1307795313,22.35,1.32
1307795365,22.3,5.2
1307795435,22.35,4.68
1307797445,22.35,3.56
1307798446,22.35,0.44
1307798488,22.25,0.87
1307798507,22.25,0.13
1307798526,21.031,10
1307798535,21.031,4.17
1307798565,21.031,5.83
1307798586,21.03,6.3
1307798586,21.03,2
1307798598,21.02,3
1307798610,21.01,0.13
1307798629,21,11
1307798645,21,0.56
1307798663,20,1
1307798663,20,2
1307798663,20,10.78
1307799112,20,1.22
1307799112,20,18.78
1307799309,20,6.22
1307799309,20,7.66
1307799454,20,2.34
1307799464,19.98,50
1307799475,18.55,1
1307799650,16,4
1307799986,22.35,0.83
1307800016,22.35,0.17
1307801559,23.75,1
1307801587,23.5,1.41
1307801617,23.5,2.02
1307801657,23.5,1
1307801807,22.16,0.81
1307802484,22.16,1.19
1307802484,22.152,8.74
1307802521,21.5,8.7
1307802645,22,1
1307802657,22,0.42
1307802670,22,4.08
1307802819,21.56,2
1307802857,21.56,3
1307802916,21.55,10.75
1307802931,21.5,2.55
1307802954,18,5
1307806319,22,1
1307806386,23.5,1.2
1307806946,25,0.16
1307810285,24.95,1
